id,kepid,koi_name,kepler_name,disposition,pdisposition,score,period,radius_planet,temp_planet_eq,insolation,duration,depth,model_snr,temp_star_eq,radius_star,mag_star,ra,dec,star_type
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0,9.48803557,2.26,793.0,93.59,2.9575,615.8,35.8,5455.0,0.927,15.347,291.93423,48.141651,Sun-like
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,54.4183827,2.83,443.0,9.11,4.507,874.8,25.8,5455.0,0.927,15.347,291.93423,48.141651,Sun-like
3,10811496,K00753.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,19.89913995,14.6,638.0,39.3,1.7822,10829.0,76.3,5853.0,0.868,15.436,297.00482,48.134129,Sun-like
4,10848459,K00754.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,1.736952453,33.46,1395.0,891.96,2.40641,8079.2,505.6,5805.0,0.791,15.597,285.53461,48.28521,Sun-like
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,2.525591777,2.75,1406.0,926.16,1.6545,603.3,40.9,6031.0,1.046,15.509,288.75488,48.2262,White
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,11.09432054,3.9,835.0,114.81,4.5945,1517.5,66.5,6046.0,0.972,15.714,296.28613,48.22467,White
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,4.13443512,2.77,1160.0,427.65,3.1402,686.0,40.2,6046.0,0.972,15.714,296.28613,48.22467,White
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,2.56658897,1.59,1360.0,807.74,2.429,226.5,15.0,6046.0,0.972,15.714,296.28613,48.22467,White
9,6721123,K00114.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,7.36178958,39.21,1342.0,767.22,5.022,233.7,47.7,6227.0,1.958,12.66,298.86435,42.151569,White
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0,16.06864674,5.76,600.0,30.75,3.5347,4914.3,161.9,5031.0,0.848,15.841,286.99948,48.37579,Orange
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,2.470613377,13.04,1339.0,761.46,1.74319,14231.0,4304.3,5820.0,0.964,11.338,286.80847,49.316399,Sun-like
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,3.522498429,14.59,1521.0,1264.67,3.19843,9145.7,1741.5,6225.0,1.451,13.563,281.28812,42.45108,White
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0,3.709214104,1.16,1206.0,500.46,2.6302,131.1,50.6,5833.0,1.022,12.772,295.64871,48.49556,Sun-like
16,10464078,K00743.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,19.40393776,7.18,523.0,17.69,12.2155,8918.7,214.7,5043.0,0.68,15.487,289.25821,47.635319,Orange
17,10480982,K00744.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,19.221388942,49.29,698.0,55.97,4.79843,74284.0,2317.0,6117.0,0.947,15.341,295.81454,47.69035,White
18,10485250,K00745.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,16.46983774,7.94,595.0,29.61,9.4378,10479.0,303.4,5152.0,0.786,15.788,297.15442,47.668701,Orange
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0,9.27358173,2.47,649.0,41.85,3.2875,1288.3,87.2,4856.0,0.696,15.302,288.13824,47.724449,Orange
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,6.02930329,2.85,678.0,50.04,1.5821,1912.7,65.4,4537.0,0.672,15.784,283.71088,47.86327,Orange
21,10583180,K00748.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,2.696370652,1.58,1066.0,305.34,3.6129,397.9,48.2,4989.0,0.819,15.269,283.76547,47.804298,Orange
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0,5.349553819,2.55,919.0,168.99,3.0278,831.0,60.6,5185.0,0.91,15.416,292.37613,47.880989,Orange
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,3.94105221,1.7,1018.0,253.15,2.5984,363.3,28.9,5185.0,0.91,15.416,292.37613,47.880989,Orange
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,8.10904807,1.3,800.0,97.03,3.596,217.4,14.1,5185.0,0.91,15.416,292.37613,47.880989,Orange
25,2306756,K00113.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.371,386.6030528,41.5,297.0,1.84,6.8057,24927.0,994.0,5543.0,1.58,12.394,292.27374,37.671558,Sun-like
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0,21.67699193,2.95,530.0,18.64,3.4555,857.2,34.3,4954.0,0.828,15.377,290.46512,47.92918,Orange
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0,4.99677968,2.78,917.0,166.95,2.1717,934.7,28.2,5339.0,0.847,15.861,297.80826,47.946671,Sun-like
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0,4.280963604,2.3,1012.0,247.87,2.875,750.8,61.8,5644.0,0.831,15.356,294.26581,49.314091,Sun-like
29,11463211,K00770.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50635409,4.53,1452.0,1054.12,1.5155,2211.7,181.1,5714.0,0.831,15.525,295.66522,49.351009,Sun-like
